Classifications,Permanent Call Number,Material Type,Author,ISBN,ISSN,Title (Complete),Publication Place,Publisher,Publication Date,Barcode,Replacement cost,
Visual arts,N6505 .A619,Journal,,,0092-1327,American art review.,"Kansas City, MO, etc.",Kellaway Pub Co,1973,123500002308,0,0123500002308
Visual arts,N6505 .A619,Journal,,,0092-1327,American art review.,"Kansas City, MO, etc.",Kellaway Pub Co,1973,123500002316,0,0123500002316
Visual arts,N6505 .A619,Journal,,,0092-1327,American art review.,"Kansas City, MO, etc.",Kellaway Pub Co,1973,123500002324,0,0123500002324
Visual arts,N6505 .A619,Journal,,,0092-1327,American art review.,"Kansas City, MO, etc.",Kellaway Pub Co,1973,123500002332,0,0123500002332
Visual arts,N9152.B6 S2a,Journal,Fundação Bienal de São Paulo,,,Bienal de São Paulo; catálogo.,"São Paulo, Brazil,",sn,1967,123500077656,0,0123500077656
Visual arts,N685 .A45,Journal,,,,Bulletin / Philadelphia Museum.,Philadelphia :,Philadelphia Museum of Art,1956,123500114368,0,0123500114368
Visual arts,N685 .A45,Journal,,,,Bulletin / Philadelphia Museum.,Philadelphia :,Philadelphia Museum of Art,1956,123500114376,0,0123500114376
Visual arts,N685 .A45,Journal,,,,Bulletin / Philadelphia Museum.,Philadelphia :,Philadelphia Museum of Art,1956,123500114384,0,0123500114384
Architecture,NA1 .O65,Journal,,,0094-5676,Oppositions.,"New York, N.Y. [etc.]",Rizzoli etc,1973,123500232962,0,0123500232962
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252234,0,0123500252234
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252242,0,0123500252242
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252259,0,0123500252259
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252267,0,0123500252267
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252275,0,0123500252275
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252283,0,0123500252283
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252291,0,0123500252291
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252309,0,0123500252309
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252317,0,0123500252317
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252325,0,0123500252325
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252333,0,0123500252333
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252341,0,0123500252341
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252358,0,0123500252358
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252366,0,0123500252366
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252374,0,0123500252374
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252382,0,0123500252382
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252390,0,0123500252390
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252408,0,0123500252408
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252416,0,0123500252416
Visual arts,N8 .O75,Journal,,,0030-5278,Oriental art.,"[London,",Oriental Art Magazine Ltd,1948,123500252424,0,0123500252424
Architecture,NA1 .B45,Journal,,,,The Brochure series of architectural illustration.,"[Boston, Mass. :",Bates & Guild Publishers,1895-1903].,123500324264,0,0123500324264
Architecture,NA1 .B45,Journal,,,,The Brochure series of architectural illustration.,"[Boston, Mass. :",Bates & Guild Publishers,1895-1903].,123500324272,0,0123500324272
Architecture,NA1 .B45,Journal,,,,The Brochure series of architectural illustration.,"[Boston, Mass. :",Bates & Guild Publishers,1895-1903].,123500324280,0,0123500324280
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351184,0,0123500351184
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351192,0,0123500351192
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351200,0,0123500351200
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351218,0,0123500351218
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351226,0,0123500351226
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351234,0,0123500351234
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351242,0,0123500351242
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351259,0,0123500351259
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351267,0,0123500351267
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351275,0,0123500351275
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351283,0,0123500351283
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351291,0,0123500351291
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351309,0,0123500351309
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351317,0,0123500351317
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351325,0,0123500351325
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351333,0,0123500351333
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351341,0,0123500351341
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351358,0,0123500351358
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351366,0,0123500351366
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351374,0,0123500351374
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351382,0,0123500351382
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351390,0,0123500351390
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351408,0,0123500351408
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351416,0,0123500351416
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351424,0,0123500351424
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351432,0,0123500351432
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351440,0,0123500351440
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351457,0,0123500351457
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351465,0,0123500351465
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351481,0,0123500351481
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351499,0,0123500351499
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351507,0,0123500351507
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351515,0,0123500351515
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351523,0,0123500351523
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351531,0,0123500351531
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351549,0,0123500351549
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351556,0,0123500351556
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351564,0,0123500351564
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351572,0,0123500351572
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351598,0,0123500351598
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351606,0,0123500351606
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351614,0,0123500351614
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351622,0,0123500351622
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351630,0,0123500351630
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351648,0,0123500351648
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351655,0,0123500351655
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351663,0,0123500351663
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351671,0,0123500351671
Visual arts,N8 .A75,Journal,,,0004-3648,Artibus Asiae ...,"Ascona,",Artibus Asiae,1926,123500351689,0,0123500351689
Visual arts,N81 .C45,Journal,Art Institute of Chicago.,,0069-3235,Museum studies.,Chicago :,Art Institute of Chicago,1966-,123500510623,0,0123500510623
Visual arts,N81 .C45,Journal,Art Institute of Chicago.,,0069-3235,Museum studies.,Chicago :,Art Institute of Chicago,1966-,123500510631,0,0123500510631
Visual arts,N81 .C45,Journal,Art Institute of Chicago.,,0069-3235,Museum studies.,Chicago :,Art Institute of Chicago,1966-,123500510649,0,0123500510649
Visual arts,N81 .C45,Journal,Art Institute of Chicago.,,0069-3235,Museum studies.,Chicago :,Art Institute of Chicago,1966-,123500510656,0,0123500510656
Visual arts,N81 .C45,Journal,Art Institute of Chicago.,,0069-3235,Museum studies.,Chicago :,Art Institute of Chicago,1966-,123500510664,0,0123500510664
Visual arts,N81 .C45,Journal,Art Institute of Chicago.,,0069-3235,Museum studies.,Chicago :,Art Institute of Chicago,1966-,123500510672,0,0123500510672
Visual arts,N81 .C45,Journal,Art Institute of Chicago.,,0069-3235,Museum studies.,Chicago :,Art Institute of Chicago,1966-,123500510680,0,0123500510680
Visual arts,N81 .C45,Journal,Art Institute of Chicago.,,0069-3235,Museum studies.,Chicago :,Art Institute of Chicago,1966-,123500510714,0,0123500510714
Visual arts,N81 .C45,Journal,Art Institute of Chicago.,,0069-3235,Museum studies.,Chicago :,Art Institute of Chicago,1966-,123500510722,0,0123500510722
Visual arts,N6536 .W5,Journal,,,0000-0191,Who's who in American art.,New York [etc.],R R Bowker,1937,123500512181,0,0123500512181
Visual arts,N6536 .W5,Journal,,,0000-0191,Who's who in American art.,New York [etc.],R R Bowker,1937,123500512199,0,0123500512199
Visual arts,N6536 .W5,Journal,,,0000-0191,Who's who in American art.,New York [etc.],R R Bowker,1937,123500512207,0,0123500512207
Visual arts,N6536 .W5,Journal,,,0000-0191,Who's who in American art.,New York [etc.],R R Bowker,1937,123500512215,0,0123500512215
Visual arts,N6536 .W5,Journal,,,0000-0191,Who's who in American art.,New York [etc.],R R Bowker,1937,123500512223,0,0123500512223
Visual arts,N6536 .W5,Journal,,,0000-0191,Who's who in American art.,New York [etc.],R R Bowker,1937,123500512231,0,0123500512231
Visual arts,N6536 .W5,Journal,,,0000-0191,Who's who in American art.,New York [etc.],R R Bowker,1937,123500512249,0,0123500512249
Visual arts,N6536 .W5,Journal,,,0000-0191,Who's who in American art.,New York [etc.],R R Bowker,1937,123500512280,0,0123500512280
Visual arts,N6536 .W5,Journal,,,0000-0191,Who's who in American art.,New York [etc.],R R Bowker,1937,123500512298,0,0123500512298
Visual arts,N8795 .R4,Journal,,,,Repertorio delle opere d'arte trafugate in Italia.,Roma :,Ministero della pubblica istruzione Direzione generale delle antichit`a e belle arti,1964,123500556055,0,0123500556055
Architecture,NA680 .A7,Journal,,,0003-8695,Architecture d'aujourd'hui.,"Boulogne, France :",Armand Margueritte,1930-,123500638655,0,0123500638655
Architecture,NA680 .A7,Journal,,,0003-8695,Architecture d'aujourd'hui.,"Boulogne, France :",Armand Margueritte,1930-,123500638663,0,0123500638663
Architecture,NA680 .A7,Journal,,,0003-8695,Architecture d'aujourd'hui.,"Boulogne, France :",Armand Margueritte,1930-,123500638671,0,0123500638671
Architecture,NA680 .A7,Journal,,,0003-8695,Architecture d'aujourd'hui.,"Boulogne, France :",Armand Margueritte,1930-,123500638689,0,0123500638689
Architecture,NA680 .A7,Journal,,,0003-8695,Architecture d'aujourd'hui.,"Boulogne, France :",Armand Margueritte,1930-,123500638697,0,0123500638697
Architecture,NA680 .A7,Journal,,,0003-8695,Architecture d'aujourd'hui.,"Boulogne, France :",Armand Margueritte,1930-,123500638705,0,0123500638705
Architecture,NA680 .A7,Journal,,,0003-8695,Architecture d'aujourd'hui.,"Boulogne, France :",Armand Margueritte,1930-,123500638713,0,0123500638713
